river,source_field,raw_value
Lena,dis_m3_pyr_mean,751.3359375
Lena,dis_m3_pmn_mean,67.07366943359375
Lena,dis_m3_pmx_mean,2183.041015625
Lena,run_mm_syr_mean,192.3644859813084
Lena,inu_pc_smn_mean,3.1205607476635513
Lena,inu_pc_umn_mean,0.8242990654205608
Lena,inu_pc_smx_mean,3.808411214953271
Lena,inu_pc_umx_mean,1.1495327102803738
Lena,inu_pc_slt_mean,4.969158878504673
Lena,inu_pc_ult_mean,1.8878504672897196
Lena,lka_pc_sse_mean,5.374766355140187
Lena,lka_pc_use_mean,3.6345794392523363
Lena,lkv_mc_usu_mean,3304.6887850467288
Lena,rev_mc_usu_mean,1487.7196261682243
Lena,dor_pc_pva_mean,33.279439252336445
Lena,ria_ha_ssu_mean,878.4937744140625
Lena,ria_ha_usu_mean,39866.24609375
Lena,riv_tc_ssu_mean,36270.50390625
Lena,riv_tc_usu_mean,1309917.625
Lena,gwt_cm_sav_mean,161.203738317757
Lena,ele_mt_sav_mean,565.9971962616822
Lena,ele_mt_uav_mean,690.0289719626169
Lena,ele_mt_smn_mean,278.1906542056075
Lena,ele_mt_smx_mean,1032.7242990654206
Lena,slp_dg_sav_mean,65.98317757009346
Lena,slp_dg_uav_mean,71.57943925233644
Lena,sgr_dk_sav_mean,110.63831775700935
Lena,sample_columns,"['HYBAS_ID', 'NEXT_DOWN', 'NEXT_SINK', 'MAIN_BAS', 'DIST_SINK', 'DIST_MAIN', 'SUB_AREA', 'UP_AREA', 'PFAF_ID', 'ENDO', 'COAST', 'ORDER_', 'SORT', 'dis_m3_pyr', 'dis_m3_pmn', 'dis_m3_pmx', 'run_mm_syr', 'inu_pc_smn', 'inu_pc_umn', 'inu_pc_smx', 'inu_pc_umx', 'inu_pc_slt', 'inu_pc_ult', 'lka_pc_sse', 'lka_pc_use', 'lkv_mc_usu', 'rev_mc_usu', 'dor_pc_pva', 'ria_ha_ssu', 'ria_ha_usu', 'riv_tc_ssu', 'riv_tc_usu', 'gwt_cm_sav', 'ele_mt_sav', 'ele_mt_uav', 'ele_mt_smn', 'ele_mt_smx', 'slp_dg_sav', 'slp_dg_uav', 'sgr_dk_sav']"
Kolyma,rows_matched,273
Kolyma,columns_available,121
Kolyma,HYBAS_ID_mean,3070236777.106227
Kolyma,NEXT_DOWN_mean,3058983736.996337
Kolyma,NEXT_SINK_mean,3070010910.0
Kolyma,MAIN_BAS_mean,3070010910.0
Kolyma,DIST_SINK_mean,984.0959706959708
Kolyma,DIST_MAIN_mean,984.0959706959708
Kolyma,SUB_AREA_mean,2391.79304029304
Kolyma,UP_AREA_mean,42352.59853479853
Kolyma,PFAF_ID_mean,3518630.0915750917
Kolyma,ENDO_mean,0.0
Kolyma,COAST_mean,0.0
Kolyma,ORDER__mean,2.4652014652014653
Kolyma,SORT_mean,24625.0
Kolyma,dis_m3_pyr_mean,258.6166076660156
Kolyma,dis_m3_pmn_mean,133.19155883789062
Kolyma,dis_m3_pmx_mean,448.0166015625
Kolyma,run_mm_syr_mean,217.2967032967033
Kolyma,inu_pc_smn_mean,4.443223443223443
Kolyma,inu_pc_umn_mean,1.0036630036630036
Kolyma,inu_pc_smx_mean,5.853479853479853
Kolyma,inu_pc_umx_mean,1.4908424908424909
Kolyma,inu_pc_slt_mean,17.043956043956044
Kolyma,inu_pc_ult_mean,11.197802197802197
Kolyma,lka_pc_sse_mean,12.344322344322345
Kolyma,lka_pc_use_mean,6.230769230769231
Kolyma,lkv_mc_usu_mean,2073.3663003663005
Kolyma,rev_mc_usu_mean,165.78754578754578
Kolyma,dor_pc_pva_mean,4.087912087912088
Kolyma,ria_ha_ssu_mean,663.3098754882812
Kolyma,ria_ha_usu_mean,9938.6943359375
Kolyma,riv_tc_ssu_mean,13282.2978515625
Kolyma,riv_tc_usu_mean,151767.046875
Kolyma,gwt_cm_sav_mean,174.17216117216117
Kolyma,ele_mt_sav_mean,473.0732600732601
Kolyma,ele_mt_uav_mean,625.952380952381
Kolyma,ele_mt_smn_mean,182.6117216117216
Kolyma,ele_mt_smx_mean,1202.3956043956043
Kolyma,slp_dg_sav_mean,85.14285714285714
Kolyma,slp_dg_uav_mean,100.82417582417582
Kolyma,sgr_dk_sav_mean,99.2967032967033
Kolyma,sample_columns,"['HYBAS_ID', 'NEXT_DOWN', 'NEXT_SINK', 'MAIN_BAS', 'DIST_SINK', 'DIST_MAIN', 'SUB_AREA', 'UP_AREA', 'PFAF_ID', 'ENDO', 'COAST', 'ORDER_', 'SORT', 'dis_m3_pyr', 'dis_m3_pmn', 'dis_m3_pmx', 'run_mm_syr', 'inu_pc_smn', 'inu_pc_umn', 'inu_pc_smx', 'inu_pc_umx', 'inu_pc_slt', 'inu_pc_ult', 'lka_pc_sse', 'lka_pc_use', 'lkv_mc_usu', 'rev_mc_usu', 'dor_pc_pva', 'ria_ha_ssu', 'ria_ha_usu', 'riv_tc_ssu', 'riv_tc_usu', 'gwt_cm_sav', 'ele_mt_sav', 'ele_mt_uav', 'ele_mt_smn', 'ele_mt_smx', 'slp_dg_sav', 'slp_dg_uav', 'sgr_dk_sav']"
Yukon,rows_matched,337
Yukon,columns_available,121
Yukon,HYBAS_ID_mean,8070191544.451038
Yukon,NEXT_DOWN_mean,8046242828.961424
Yukon,NEXT_SINK_mean,8070005510.0
Yukon,MAIN_BAS_mean,8070005510.0
Yukon,DIST_SINK_mean,1864.1593471810088
Yukon,DIST_MAIN_mean,1864.1593471810088
Yukon,SUB_AREA_mean,2471.277151335312
Yukon,UP_AREA_mean,65368.221958456976
Yukon,PFAF_ID_mean,8126021.988130564
Yukon,ENDO_mean,0.0
Yukon,COAST_mean,0.0
Yukon,ORDER__mean,2.400593471810089
Yukon,SORT_mean,53464.0
Yukon,dis_m3_pyr_mean,501.0884704589844
Yukon,dis_m3_pmn_mean,155.1866912841797
